Year,mean sea level ,ghg emission,temp anomalies
1880,-180.2362847,5744898600,-0.1625
1881,-173.0390625,5790540000,-0.080833333
1882,-191.5807292,5922506000,-0.1075
1883,-190.4557292,6064236000,-0.168333333
1884,-166.5973958,6108973000,-0.275
1885,-168.5557292,6133997600,-0.328333333
1885,-169.5973958,6192668700,-0.305833333
1887,-176.7640625,6317310500,-0.356666667
1888,-174.1557292,6458240500,-0.17
1889,-171.4807292,6493166600,-0.100833333
1890,-169.8807292,6758279000,-0.3475
1891,-173.3557292,6936811000,-0.220833333
1892,-168.6557292,6999981600,-0.271666667
1893,-164.7807292,7062284300,-0.304166667
1894,-174.2973959,7167767000,-0.296666667
1895,-162.2640625,7319153700,-0.2225
1896,-168.6223958,7421089000,-0.109166667
1897,-164.2390625,7556390400,-0.106666667
1898,-157.4807292,7701779000,-0.270833333
1899,-148.0557292,7934907400,-0.1725
1900,-152.3807292,8180183000,-0.078333333
1901,-154.0140625,8318475300,-0.1525
1902,-148.8723958,8456297000,-0.275833333
1903,-140.8723958,8694631000,-0.364166667
1904,-149.9640625,8802919000,-0.464166667
1905,-156.6473958,9016644000,-0.250833333
1906,-150.2973958,9176698000,-0.214166667
1907,-150.7140625,9623841000,-0.379166667
1908,-153.6307292,9548418000,-0.4175
1909,-150.0140625,9721779000,-0.475833333
1910,-149.2057292,9877268000,-0.426666667
1911,-142.0473958,9940845000,-0.436666667
1912,-144.0890625,10065119000,-0.36
1913,-142.1723958,10369888000,-0.333333333
1914,-138.243958,10020949000,-0.144166667
1915,-126.3140625,9949031000,-0.130833333
1916,-130.6390625,10197043000,-0.3525
1917,-133.8307292,10391591000,-0.4525
1918,-135.7057292,10363822000,-0.2925
1919,-134.6723959,9848702000,-0.2725
1920,-133.5223958,10547680000,-0.268333333
1921,-131.2057292,10187355000,-0.181666667
1922,-132.5557292,10449588000,-0.278333333
1923,-129.7307292,10983467000,-0.260833333
1924,-138.2723958,11058261000,-0.268333333
1925,-136.7557291,11183324000,-0.215833333
1926,-129.4390625,11118605000,-0.1075
1927,-130.4973958,11544581000,-0.216666667
1928,-133.9640625,11566127000,-0.2
1929,-133.7473958,11925449000,-0.359166667
1930,-129.5890625,11621743000,-0.154166667
1931,-129.7223958,11254602000,-0.088333333
1932,-124.7307292,10960445000,-0.155833333
1933,-119.1807292,11200728000,-0.283333333
1934,-125.0973958,11596695000,-0.121666667
1935,-119.3390635,11831508000,-0.195833333
1936,-123.5890625,12315408000,-0.143333333
1937,-118.2473958,12674802000,-0.026666667
1938,-114.9307291,12446122000,0.000833333
1939,-109.9057292,12759981000,-0.015833333
1940,-115.5640625,13447261000,0.126666667
1941,-102.9140625,13780645000,0.1875
1942,-103.5223958,13876464000,0.0675
1943,-102.0973958,14093721000,0.0925
1944,-109.4723958,14283704000,0.206666667
1945,-106.8890625,13436114000,0.095
1946,-98.98072916,13984759000,-0.070833333
1947,-97.58072916,14620470000,-0.023333333
1948,-90.74739583,14964012000,-0.105
1949,-92.2390625,14829824000,-0.109166667
1950,-90.8973583,16133820000,-0.174166667
1951,-80.57239583,16826135000,-0.069166667
1952,-84.0390625,17141976000,0.010833333
1953,-78.17239583,17550529000,0.08
1954,-82.7390625,17995368000,-0.134166667
1955,-80.92739583,19054870000,-0.140833333
1956,-85.3390625,19906697000,-0.190833333
1957,-73.88072916,20525062000,0.0475
1958,-71.82239583,21082114000,0.06
1959,-70.4890625,22116274000,0.029166667
1960,-67.83072917,22279125000,-0.025
1961,-60.72239583,21972924000,0.056666667
1962,-66.4390625,22223774000,0.030833333
1963,-67.08072917,22687578000,0.055
1964,-75.99739583,23235322000,-0.198333333
1965,-65.07239583,23528948000,-0.106666667
1966,-69.13072917,24142748000,-0.056666667
1967,-69.2890625,24736307000,-0.023333333
1968,-67.94739584,25618143000,-0.0825
1969,-60.74739583,26375401000,0.053333333
1970,-65.14934599,27596683000,0.0275
1971,-59.30436302,28202478000,-0.08
1972,-49.32270406,29130297000,0.008333333
1973,-56.48073119,30065463000,0.16
1974,-43.06928563,29925347000,-0.07
1975,-43.1023084,30165764000,-0.0125
1976,-43.09308719,31188770000,-0.0975
1977,-47.15262153,31948120000,0.178333333
1978,-43.99174318,32418126000,0.069166667
1979,-48.97859206,33049813000,0.165833333
1980,-39.86562335,32947655000,0.256666667
1981,-28.92369588,32579475000,0.3225
1982,-31.4046292,32556354000,0.14
1983,-26.60817928,33109391000,0.3125
1984,-27.99655473,34397426000,0.155833333
1985,-34.8328465,34960530000,0.115833333
1986,-32.59539219,35398316000,0.18
1987,-31.03121056,36161890000,0.320833333
1988,-27.25276955,37071196000,0.389166667
1989,-24.25276955,37393690000,0.271666667
1990,-20.55393794,37861167000,0.445833333
1991,-16.08136257,38189654000,0.405
1992,-14.38187923,37660260000,0.221666667
1993,-21.17732226,37883445000,0.230833333
1994,-18.19365159,38568268000,0.314166667
1995,-12.36532498,39237210000,0.445833333
1996,-9.515435477,40058495000,0.333333333
1997,-3.054291093,42008400000,0.465
1998,-7.731136981,40243634000,0.608333333
1999,-2.491516942,40820010000,0.38
2000,-2.062490049,41343422000,0.393333333
2001,2.897798723,41203966000,0.534166667
2002,0.45752172,42279180000,0.6275
2003,7.793320804,44362280000,0.618333333
2004,8.64173146,45323980000,0.534166667
2005,9.102753652,45839122000,0.676666667
2006,12.4442838,47368860000,0.6375
2007,12.77939459,47793620000,0.663333333
2008,22.47435294,48658096000,0.540833333
2009,27.58577279,48450773000,0.654166667
2010,36.19791838,50274144000,0.724166667
2011,36.18167183,51856640000,0.608333333
2012,42.341628,52393185000,0.646666667
2013,42.02689766,52483064000,0.676666667
2014,49.90470216,53155336000,0.745
2015,52.1794316,53660480000,0.899166667
2016,56.33071144,52822622000,1.015833333
2017,55.11239131,53405286000,0.921666667
2018,52.08327357,54066300000,0.85
2019,60.98073844,54821320000,0.976666667
2020,65.9997391,52585247000,1.011666667
